Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Сыр President Пише Миньон,"
            18.0          ","
            28.0          ","
            1.0          ","
            324          "
Сыр Unagrande Dolce Рикотта с натуральным шоколадом,"
            4.9          ","
            12.9          ","
            23.1          ","
            228          "
Сыр Unagrande Кремчиз №1,"
            8.5          ","
            24.5          ","
            0.0          ","
            255          "
Сыр Valio Polar 5%,"
            34.0          ","
            5.0          ","
            0.0          ","
            180          "
Сыр Valio творожный Рассыпчатый 2%,"
            13.0          ","
            2.0          ","
            2.0          ","
            80          "
Сыр Valio творожный Сливочный,"
            5.2          ","
            23.5          ","
            2.3          ","
            240          "
Сыр Vego Вегано-Грана-Падано с перцем,"
            1.2          ","
            35.0          ","
            25.0          ","
            325          "
Сыр Viola ассорти Финское избранное 50%,"
            10.0          ","
            20.0          ","
            6.0          ","
            244          "
Сыр Viola с ветчиной,"
            11.0          ","
            28.0          ","
            2.0          ","
            305          "
Сыр Viola с лисичками,"
            11.0          ","
            28.0          ","
            2.0          ","
            305          "
Сыр Viola с паприкой,"
            11.0          ","
            28.0          ","
            2.0          ","
            305          "
Сыр Viola с укропом и огурцом,"
            11.0          ","
            28.0          ","
            2.0          ","
            305          "
Сыр Viola сливочный,"
            11.0          ","
            28.0          ","
            2.0          ","
            305          "
Сыр Vitalat Рикотта,"
            7.0          ","
            6.0          ","
            0.0          ","
            97          "
Сыр VolkoMolko веганский Плавящийся,"
            13.0          ","
            35.0          ","
            16.0          ","
            429          "
Сыр а ла Каймак Mlekara Sabac мягкий 70%,"
            6.1          ","
            23.5          ","
            1.1          ","
            242          "
Сыр а ла Каймак мягкий 70%,"
            6.1          ","
            23.5          ","
            1.1          ","
            242          "
Сыр Абонданс,"
            26.3          ","
            26.6          ","
            0.0          ","
            350          "
Сыр Адыгейский,"
            18.5          ","
            14.0          ","
            0.0          ","
            240          "
Сыр Алтайский,"
            26.0          ","
            26.5          ","
            3.5          ","
            356          "
Сыр Альпийский,"
            25.0          ","
            27.0          ","
            0.0          ","
            353          "
Сыр Амадеус,"
            28.6          ","
            29.3          ","
            0.1          ","
            275          "
Сыр Амбер,"
            31.0          ","
            10.0          ","
            10.0          ","
            220          "
Сыр Анари,"
            11.0          ","
            15.0          ","
            2.0          ","
            195          "
Сыр Аппенцеллер,"
            24.7          ","
            31.7          ","
            2.0          ","
            403          "
Сыр Арла Chef Bake'n'Roll крем сливочный 25%,"
            6.3          ","
            25.0          ","
            5.4          ","
            272          "
Сыр Арла Буко,"
            8.5          ","
            17.0          ","
            3.0          ","
            200          "
Сыр Арла Буко Баланс,"
            8.5          ","
            17.0          ","
            3.0          ","
            200          "
Сыр Арла Натура Лайт,"
            29.0          ","
            16.0          ","
            1.0          ","
            260          "
Сыр Арла Натура Моцарелла,"
            26.0          ","
            21.7          ","
            1.0          ","
            303          "
