Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Дуриан,"
            1.5          ","
            5.3          ","
            23.3          ","
            147          "
Дыня,"
            0.6          ","
            0.3          ","
            7.4          ","
            33          "
Дыня медовая,"
            0.6          ","
            0.3          ","
            7.4          ","
            33          "
Жердела,"
            0.9          ","
            0.2          ","
            10.0          ","
            46          "
Звёздное яблоко,"
            0.5          ","
            0.4          ","
            15.3          ","
            67          "
Инжир,"
            0.7          ","
            0.2          ","
            13.7          ","
            49          "
Карамбола,"
            1.0          ","
            0.0          ","
            7.0          ","
            31          "
Кивано,"
            1.8          ","
            1.3          ","
            7.6          ","
            44          "
Киви,"
            1.0          ","
            0.6          ","
            10.3          ","
            48          "
Кизил,"
            1.0          ","
            0.0          ","
            10.5          ","
            44          "
Клементин,"
            0.9          ","
            0.2          ","
            10.3          ","
            47          "
Корлан,"
            0.7          ","
            0.2          ","
            18.0          ","
            82          "
Кумкват,"
            1.9          ","
            0.9          ","
            9.4          ","
            71          "
Лайм,"
            0.9          ","
            0.1          ","
            3.0          ","
            16          "
Лимон,"
            0.9          ","
            0.1          ","
            3.0          ","
            16          "
Лимон маринованный,"
            0.4          ","
            0.3          ","
            6.5          ","
            21          "
Лимон японский (Юзу),"
            0.5          ","
            0.1          ","
            7.0          ","
            21          "
Личи,"
            0.8          ","
            0.3          ","
            14.4          ","
            65          "
Лонган,"
            1.3          ","
            0.1          ","
            14.0          ","
            60          "
Лукума,"
            0.1          ","
            0.1          ","
            7.9          ","
            32          "
Маболо,"
            0.5          ","
            0.4          ","
            15.3          ","
            67          "
Магический фрукт,"
            0.0          ","
            0.0          ","
            7.7          ","
            30          "
Маклюра (Адамово яблоко),"
            0.0          ","
            0.0          ","
            0.0          ","
"
Маммея,"
            0.5          ","
            0.5          ","
            9.5          ","
            51          "
Манго,"
            0.5          ","
            0.3          ","
            11.5          ","
            67          "
Мангостан (мангостин),"
            0.6          ","
            0.3          ","
            14.0          ","
            62          "
Мандарин,"
            0.8          ","
            0.2          ","
            7.5          ","
            33          "
Мандарин консервированный,"
            0.6          ","
            0.3          ","
            8.9          ","
            37          "
Маракуйя,"
            2.4          ","
            0.4          ","
            13.4          ","
            68          "
Маранг,"
            2.5          ","
            0.7          ","
            27.3          ","
            125          "
Марула,"
            0.6          ","
            0.5          ","
            9.6          ","
            48          "
